Gene	Length
SLC35E2B	8462
RP11-345P4.6	1819
MMP23A	1017
CDK11A	5085
RP1-283E3.8	5079
RP1-283E3.4	2759
SLC35E2A	3264
NADK	5570
GNB1	6417
RP1-140A9.1	906
CALML6	2040
TMEM52	1600
CFAP74	10422
RP11-547D24.1	2063
GABRD	5525
RP11-547D24.3	538
PRKCZ	7695
RP5-892K4.1	4196
PRKCZ-AS1	1734
FAAP20	10916
RP11-181G12.4	326
SKI	6550
RP11-181G12.8	5794
MORN1	11337
RP4-713A8.1	493
RP4-740C4.5	2407
RP4-740C4.7	568
RER1	5689
PEX10	3782
PLCH2	10809
RP3-395M20.2	455
RP3-395M20.3	514
PANK4	5072
HES5	1324
RP3-395M20.12	1531
TNFRSF14-AS1	6137
TNFRSF14	6214
RP3-395M20.7	1297
RP3-395M20.9	626
PRXL2B	3371
MMEL1	3870
MMEL1-AS1	373
TTC34	8814
ABC14-1188822O7.2	593
ABC14-1188822O7.1	1565
RP11-740P5.2	607
RP11-740P5.4	663
RP11-740P5.3	429
RP5-907A6.1	1654
ACTRT2	1437
PRDM16-DT	5600
PRDM16	9767
MIR4251	61
RP1-163G9.2	469
RP11-193J6.1	2677
RP11-22L13.1	3461
RP4-785P20.3	728
RP4-785P20.2	2784
ARHGEF16	5324
RP11-168F9.2	382
MEGF6	9021
MIR551A	96
RP11-46F15.2	622
TPRG1L	2401
WRAP73	7634
TP73	6767
TP73-AS3	754
TP73-AS2	351
TP73-AS1	9701
ENSG10010138423.1	161
CCDC27	4238
SMIM1	993
LRRC47	4509
RN7SL574P	297
RP1-286D6.5	531
CEP104	11885
DFFB	3870
C1orf174	4883
LINC01134	4084
LINC01346	5054
LINC01345	2168
LINC02780	1835
RP11-718D19.2	4817
EEF1DP6	372
LINC01777	2574
RP5-1166F10.2	3402
RP1-37J18.1	356
LINC01646	3328
AJAP1	12528
RP1-77N19.1	3225
RP4-603B14.2	464
LINC02781	1580
LINC02782	449
RP4-703E10.1	1225
RP1-58B11.2	2316
RP1-58B11.3	609
RP1-58B11.1	1697
RP3-491M17.1	135
RP11-154H17.1	1095
ENSG00000264341	73
MIR4689	70
NPHP4	13167
KCNAB2	17329
CHD5	10094
RP1-120G22.12	663
RPL22	4665
RNF207-AS1	378
RNF207	6595
ICMT	4910
LINC00337	2358
HES3	710
GPR153	4198
ACOT7	3500
RP1-202O8.3	837
HES2	5407
ESPN	6952
MIR4252	63
RP1-202O8.2	351
TNFRSF25	4263
PLEKHG5	6935
NOL9	7271
RNU6-731P	111
RP11-58A11.2	401
TAS1R1	2764
ZBTB48	4510
KLHL21	6901
PHF13	3632
THAP3	4072
DNAJC11	5083
LINC01672	2188
RP11-242F24.2	987
CAMTA1-DT	415
CAMTA1	9903
RP11-312B8.2	286
RP11-334N17.1	349
RNU1-8P	165
CAMTA1-IT1	365
CAMTA1-AS2	744
CAMTA1-AS1	361
RP11-338N10.1	1721
RP11-338N10.2	570
RP11-338N10.3	267
VAMP3	2733
RP3-467L1.6	393
PER3	8128
RP3-467L1.4	830
UTS2	1793
TNFRSF9	6354
RP5-892F13.2	355
PARK7	2397
Y_RNA	78876
CTA-215D11.6	4116
CTA-215D11.5	1043
ERRFI1	4179
RP11-431K24.1	2044
CTA-215D11.4	800
RP11-431K24.2	1075
LINC01714	1001
RNU1-7P	164
RP11-431K24.4	477
RNU6-991P	107
SLC45A1	2600
RERE	14112
RERE-AS1	1178
ENSG10010135148.1	125
RP5-1115A15.2	369
RPL7P11	658
RPL7P7	703
RP4-633I8.3	415
RP4-633I8.4	353
RPL23AP19	369
ENO1	5216
MIR6728	89
ENO1-AS1	456
RNU6-304P	107
HMGN2P17	743
RP3-477M7.5	352
RP3-477M7.6	163
CA6	2662
RN7SL451P	299
SLC2A7	1944
SLC2A5	6632
ENSG10010139882.1	184
GPR157	5304
MIR34AHG	8702
MIR34A	110
LNCTAM34A	2141
H6PD	9322
SPSB1	3389
CTD-2510L9.2	1765
LINC02606	2623
RNA5SP40	110
RP13-392I16.1	708
SLC25A33	3865
RP13-15M17.1	559
TMEM201	6981
PIK3CD	6333
PIK3CD-AS1	1823
RP11-558F24.2	421
PIK3CD-AS2	939
CLSTN1	5241
MZT1P1	246
RP11-84A14.7	1983
CTNNBIP1	3339
RP11-84A14.5	424
RP11-84A14.8	762
LZIC	5459
RP11-84A14.4	440
NMNAT1	4610
RN7SKP269	319
TMEM274P	444
MIR5697	78
RP11-807G9.2	436
RBP7	862
UBE4B	9237
RP11-496H15.2	337
PGAM1P11	680
RNU6-828P	107
KIF1B	17955
ENSG00000264881	86
RNU6-37P	107
RN7SL731P	293
RP4-736L20.4	2381
RP4-736L20.5	1477
PGD	3333
RP4-736L20.3	797
CENPS-CORT	2244
CENPS	1748
CORT	914
DFFA	6625
RP5-1113E3.3	467
PEX14	2932
RP4-734G22.4	2876
RN7SL614P	280
CASZ1	11336
RP4-734G22.3	7923
HSPE1P24	238
C1orf127	3573
CFL1P6	494
TARDBP	6187
MASP2	4257
SRM	1894
EXOSC10	5991
RP4-635E18.7	2682
EXOSC10-AS1	536
MTOR	12163
MTOR-AS1	763
RNU6-537P	103
ANGPTL7	2224
RNU6-291P	107
RPL39P6	150
UBIAD1	5090
UBE2V2P3	437
RP4-796F18.3	742
MTCYBP45	565
DISP3	6120
RP11-149P14.2	1051
LINC01647	1351
RP3-330O12.5	2094
FBXO2	3163
FBXO44	3527
FBXO6	1735
MAD2L2	3324
DRAXIN	7365
AGTRAP	2435
C1orf167	6499
C1orf167-AS1	1868
MTHFR	11513
CLCN6	8173
ENSG10010138681.1	173
ENSG10010135835.1	149
NPPA	1120
ENSG10010134403.1	108
NPPB	708
SBF1P2	2637
RP5-934G17.7	3071
RNU5E-1	120
RNU5E-4P	120
KIAA2013	3281
PLOD1	5320
RP5-1077B9.6	595
MFN2	10234
RP5-1077B9.5	93
MIIP	2821
MIR6729	65
RN7SL649P	275
TNFRSF8	3812
RNU6-777P	104
RPL23AP89	255
RP11-426M1.3	1196
MIR7846	96
TNFRSF1B	3778
MIR4632	61
RPL10P17	316
SNORA70	3338
VPS13D	20768
SNORA59A	152
LINC02766	438
DHRS3	3515
RNU6ATAC18P	101
MIR6730	67
RP11-474O21.5	345
AADACL4	2027
RP11-474O21.2	112
AADACL3	4055
C1orf158	4133
PRAMEF12	2889
PRAMEF1	2439
LINC01784	378
PRAMEF11	1845
PRAMEF30P	1417
HNRNPCL1	1134
PRAMEF2	1642
PRAMEF4	1840
PRAMEF10	1525
PRAMEF7	1660
RNU6-1072P	107
PRAMEF29P	1139
PRAMEF6	1784
PRAMEF28P	1450
PRAMEF27	1947
HNRNPCL3	1897
PRAMEF25	1918
PRAMEF34P	1447
PRAMEF35P	891
HNRNPCL2	1156
PRAMEF36P	1452
RP13-221M14.2	384
PRAMEF26	1863
HNRNPCL4	1718
PRAMEF9	2465
PRAMEF13	2442
PRAMEF18	2067
PRAMEF31P	1371
PRAMEF5	1720
PRAMEF32P	1068
RNU6-771P	107
PRAMEF8	1937
PRAMEF33	1518
PRAMEF15	1865
RP11-219C24.10	384
PRAMEF14	2443
PRAMEF19	1440
PRAMEF17	1578
PRAMEF20	1502
LRRC38	2168
RP4-597A16.2	477
BRWD1P1	371
PDPN	3707
RNA5SP41	101
CTA-520D8.2	379
ENSG10010140100.1	130
PRDM2	10923
KAZN	13860
RNU6-1265P	103
RP11-344F13.1	1549
KAZN-AS1	2858
TBCAP2	326
RP5-864I18.1	1453
TMEM51-AS1	11973
TMEM51	2238
C1orf195	559
MFFP1	710
ZBTB2P1	966
FHAD1	13247
FHAD1-AS1	3105
RP3-467K16.7	727
RP3-467K16.4	5178
EFHD2	2534
CTRC	3483
CELA2A	1519
CELA2B	1449
CASP9	5269
DNAJC16	8563
SCARNA21B	140
RP4-680D5.8	346
AGMAT	3095
RP4-680D5.2	2845
CHCHD2P6	447
RNU7-179P	68
CD24P1	225
DDI2	12178
RSC1A1	1854
RP4-680D5.9	256
PLEKHM2	4134
RP11-288I21.1	1533
SLC25A34	3338
SLC25A34-AS1	639
TMEM82	1443
FBLIM1	4351
RPL12P14	490
UQCRHL	2180
RP11-169K16.8	438
FLJ37453	2473
SPEN	14336
RP1-134O19.3	211
ZBTB17	4240
RP11-5P18.1	563
RP11-5P18.3	260
RP11-5P18.11	236
TBC1D3P6	962
SRARP	3039
RP11-5P18.5	466
HSPB7	3193
CLCNKA	3476
RP11-5P18.10	704
CLCNKB	5933
FAM131C	1720
EPHA2	4141
RP11-276H7.2	904
RP11-276H7.3	544
ARHGEF19-AS1	439
ARHGEF19	3788
ANO7L1	1990
RP4-733M16.8	2662
CPLANE2	1574
MT1XP1	186
FBXO42	9009
SZRD1	4742
RPL22P3	381
SPATA21	4506
NECAP2	5510
LINC01772	3245
CROCCP3	6905
RNU1-1	164
RP4-798A10.7	1110
RP4-798A10.8	1558
RP4-798A10.4	327
LINC01783	1548
RNU1-6P	144
PDE4DIPP8	882
NBPF1	12212
RP5-1182A14.5	339
CROCCP2	5606
RP5-1182A14.8	166
MST1P2	2291
RP1-163M9.8	817
RNU1-3	164
RP5-875O13.7	1351
EIF1AXP1	435
ESPNP	4903
RP1-163M9.7	406
RP5-1182A14.7	819
CROCC	8875
CROCCP4	762
RNU1-4	164
MST1L	5298
RP11-108M9.1	837
PDE4DIPP9	882
MIR3675	73
RP11-108M9.3	3293
RNU1-5P	144
RP11-108M9.4	2130
RP11-108M9.5	508
RNU1-2	164
RP11-108M9.6	438
MFAP2	2712
RP1-37C10.7	385
RP1-37C10.3	636
ATP13A2	5253
RP1-37C10.8	312
SDHB	2324
PADI2	6000
LINC02783	4676
RP11-380J14.4	1228
PADI1	4903
PADI3	3189
MIR3972	87
PADI4	2971
PADI6	2396
RCC2-AS1	311
RCC2	4079
ARHGEF10L	7954
LINC02810	1328
ACTL8	1844
RP11-658E23.1	2013
LINC01654	2471
IGSF21	3033
RP11-174G17.3	6473
IGSF21-AS1	430
RP11-422P22.1	491
KLHDC7A	5045
DYNLL1P3	266
RP1-8B22.2	223
PAX7	6473
TAS1R2	2542
ALDH4A1	3632
MIR4695	74
MIR1290	78
IFFO2	6179
RP5-1126H10.2	3402
UBR4	24661
EMC1-AS1	507
EMC1	9602
MRTO4	2556
RP4-657E11.11	339
AKR7L	2768
AKR7A3	1215
RP4-657E11.10	525
AKR7A2	1779
RNU6-1099P	107
SLC66A1	2686
CAPZB	19094
RN7SL277P	288
MICOS10	5480
RNU4-28P	141
RP5-1056L3.1	207
NBL1	3448
MICOS10-NBL1	1276
RP5-1056L3.3	455
HTR6	3800
TMCO4	4027
RNF186	1255
RP11-91K11.2	447
OTUD3	6885
PLA2G2E	785
RN7SL304P	301
PLA2G2A	1632
PLA2G5	3342
PLA2G2D	2681
PLA2G2F	6438
RP3-340N1.2	2930
PLA2G2C	3855
UBXN10	5562
LINC01757	646
RP3-340N1.7	1639
VWA5B1	11045
RP4-745E8.2	229
LINC01141	4303
RP4-749H3.2	376
RP4-749H3.4	1340
RP4-749H3.3	674
CAMK2N1	2605
MUL1	2428
RPS4XP4	763
FAM43B	2448
CDA	820
PINK1	4833
MIR6084	110
PINK1-AS	4443
DDOST	2721
KIF17	4470
RP5-930J4.5	479
SH2D5	4487
RP5-930J4.2	299
HP1BP3	9815
EIF4G3	11125
RNU7-200P	62
MIR1256	119
RPS15AP6	385
RP11-487E1.2	115
HSPE1P27	296
RP3-329E20.3	1111
ECE1	7308
RP3-329E20.2	723
ECE1-AS1	2579
PPP1R11P1	376
PDE4DIPP10	649
RP11-293F5.1	761
NBPF2P	661
HS6ST1P1	1234
CROCCP5	830
NBPF3	6812
PFN1P10	327
ALPL	2980
LINC02596	821
RAP1GAP	5755
USP48	9497
RP11-132G19.3	307
LDLRAD2	4494
HSPG2	18118
RP11-26H16.1	483
RP11-26H16.4	1162
CELA3B	1540
RP1-224A6.11	1611
RN7SL386P	297
RNU6-1022P	104
CELA3A	1226
RN7SL186P	297
RNU6-776P	104
LINC01635	1588
LINC00339	3764
CDC42	16278
CDC42-AS1	2574
RP1-224A6.10	222
CDC42-IT1	692
MPHOSPH6P1	488
WNT4	4650
RP1-163O16.1	811
MIR4418	62
PPIAP34	492
RP11-415K20.2	1853
ZBTB40	9169
ZBTB40-IT1	273
EPHA8	5434
MIR6127	109
C1QA	1220
C1QC	1332
C1QB	1492
EPHB2	12516
MIR4684	82
RP11-69E9.1	480
MIR4253	68
LACTBL1	1641
TEX46	660
KDM1A	5440
RP1-184J9.2	666
MIR3115	68
ENSG00000266802	77
LUZP1	9658
RP5-979D14.1	818
RNU6-514P	107
RNU6-135P	101
HTR1D	3319
RP5-1057J7.1	460
LINC01355	6182
RP5-1057J7.8	604
HNRNPR	8704
ZNF436	4786
ZNF436-AS1	2674
RP5-1057J7.7	650
TCEA3	3675
RP4-654C18.1	426
ASAP3	4988
E2F2	5462
RP1-150O5.3	456
ID3	1496
RP1-150O5.4	1322
MDS2	2142
RP11-223J15.2	1186
RPL11	2659
ELOA-AS1	3086
ELOA	5391
PITHD1	2173
LYPLA2	2021
GALE	3955
HMGCL	5628
FUCA1	2043
CNR2	5265
BTBD6P1	1267
RP11-4M23.3	210
MIR378F	78
H3P1	368
PNRC2	2763
SRSF10	11860
RP11-4M23.7	328
RP11-293P20.2	454
MYOM3	9214
MYOM3-AS1	461
IL22RA1	2817
IFNLR1	4940
LINC02800	1849
GRHL3-AS1	856
GRHL3	3905
STPG1	8511
NIPAL3	9396
RCAN3AS	762
RCAN3	7138
NCMAP-DT	1445
NCMAP	4146
RP11-496D1.2	348
SRRM1	7922
RP11-373M8.2	886
CLIC4	4467
RNU6-1208P	107
RUNX3	4922
MIR6731	72
RUNX3-AS1	820
RP11-84D1.2	2443
MIR4425	84
LINC02793	1431
RP4-799D16.1	863
IFITM3P7	402
RP4-706G24.1	988
SYF2	3773
RP3-465N24.7	2190
RP3-465N24.8	760
RSRP1	6730
RP3-465N24.6	485
RP3-465N24.5	459
RHD	3313
SDHDP6	480
RP11-335G20.7	459
TMEM50A	3010
RHCE	2433
RP3-469D22.1	478
MACO1	3979
LDLRAP1	5371
RP11-70P17.1	483
MAN1C1	9702
RP1-187B23.1	2224
SELENON	4403
RP1-317E23.6	792
RP1-317E23.3	2793
MTFR1L	5797
RP1-317E23.7	222
AUNIP	2408
RP1-125I3.2	849
PAQR7	3244
STMN1	6247
SNRPFP2	251
RP1-125I3.4	140
MIR3917	93
PAFAH2	3795
RNU6-110P	104
ENSG10010139548.1	125
ENSG10010134544.1	84
EXTL1	4542
SLC30A2	3483
RP11-96L14.9	941
TRIM63	2576
PDIK1L	4560
FAM110D	2799
C1orf232	1203
ZNF593OS	2073
ZNF593	732
CNKSR1	3960
CATSPER4	2030
ZPLD2P	3191
RP11-231P20.6	899
CEP85	5145
RP11-231P20.5	358
SH3BGRL3	876
UBXN11	4704
CD52	934
CRYBG2	6895
RP11-569G9.7	346
ZNF683	2379
LIN28A	3975
DHDDS	5608
RP3-476K8.4	535
DHDDS-AS1	1261
HMGN2	3189
DPPA2P2	897
RPS6KA1	5884
MIR1976	52
RN7SL679P	304
RNU7-29P	64
RP11-492M19.3	238
ENSG10010138693.1	104
RP4-785J1.1	235
RP5-968P14.2	2000
ARID1A	15939
PIGV	5872
RN7SL165P	291
RP1-50O24.8	177
ZDHHC18	5460
SFN	1308
GPN2	4966
RP1-50O24.6	306
GPATCH3	2226
NUDC	2848
NR0B2	1165
KDF1	1855
RPL12P13	497
RPL32P6	397
OSTCP2	444
TRNP1	1979
TENT5B	2382
SLC9A1	6195
RP11-40H20.5	527
CHCHD3P3	640
NPM1P39	867
SNRPEP7	220
RP11-40H20.4	379
WDTC1	5911
RP11-4K3__A.3	282
TMEM222	4476
RNU6-48P	107
ACTG1P20	468
SYTL1	5584
MAP3K6	5746
FCN3	2169
CD164L2	1994
RP1-144C9.2	355
GPR3	2137
WASF2	5681
RP4-752I6.1	428
RP1-159A19.4	283
AHDC1	8297
FGR	3382
RP1-159A19.3	192
LINC02574	1765
IFI6	936
RP11-288L9.4	1651
RNU6-949P	107
CHMP1AP1	662
RNU6-424P	105
RP3-426I6.8	935
FAM76A	4046
RP3-426I6.2	349
RPEP3	676
STX12	3801
RP3-426I6.5	184
RP3-426I6.6	359
RNU6-1245P	106
RP3-426I6.7	1471
PPP1R8	2815
SCARNA1	166
THEMIS2	4621
RPA2	1981
SMPDL3B	2663
RP11-460I13.2	491
XKR8	5180
EYA3	6424
RP11-460I13.6	367
RN7SL559P	297
SPCS2P4	681
RP5-1053E7.2	235
RP5-1053E7.3	557
RNU6-176P	105
PTAFR	4208
DNAJC8	2892
ATP5IF1	2225
RP5-1092A3.4	1945
RP5-1092A3.5	425
SESN2	3462
MED18	2017
PHACTR4	7317
RP1-308E4.1	394
RNU6ATAC27P	119
RCC1	3888
SNHG3	4088
SNORA73A	206
SNORA73B	204
PRDX3P2	611
RP4-669K10.8	2083
TRNAU1AP	4311
SNHG12	4266
SNORD99	74
SNORA61	130
SNORA44	132
SNORA16A	137
TAF12	2337
RAB42	2301
LINC01715	978
RNU11	134
GMEB1	6413
ENSG10010139645.1	130
YTHDF2	3729
OPRD1	9345
RP1-212P9.3	1085
EPB41	19993
RP4-604A21.1	331
Metazoa_SRP	48236
TMEM200B	2606
RP11-242O24.3	279
SRSF4	8806
ENSG10010136122.1	169
MECR	4138
RP11-467D18.2	573
PTPRU	6682
LINC01756	2148
RP11-810H18.1	349
RP4-656G21.1	498
RP11-179G8.2	1953
RP11-179G8.1	493
LINC01648	1519
RP5-893G23.1	551
RP3-357I16.1	93
RP4-591L5.1	507
RP4-591L5.2	481
MATN1	4604
MATN1-AS1	4024
RP5-1166H10.4	1077
LAPTM5	3228
MIR4420	77
RP5-1125N11.1	444
LINC01778	2111
RN7SKP91	288
RP1-65J11.5	1747
SDC3	7065
RN7SL371P	267
PUM1	6621
RP11-201O14.1	507
RP11-201O14.2	163
SELENOWP1	252
RP11-490K7.1	436
NKAIN1	3320
SNRNP40	3887
RP11-490K7.4	437
ZCCHC17	1921
RP11-266K22.2	439
FABP3	1398
SERINC2	3452
RP11-439L8.2	1342
RNU6-40P	107
LDC1P	3555
LINC01226	9848
RP11-73M7.1	813
TINAGL1	5281
HCRTR1	2558
PEF1	2223
PEF1-AS1	2216
RP11-73M7.9	480
COL16A1	9253
ADGRB2	7756
MIR4254	76
RP11-84A19.3	537
SPOCD1	7085
RP11-84A19.2	2257
RP11-84A19.4	587
PTP4A2	6708
RP4-534N18.5	66
RP4-534N18.2	517
RP4-534N18.4	1873
KHDRBS1	3544
RP11-277A4.4	624
TMEM39B	2787
MIR5585	59
KPNA6	7457
RP4-622L5.2	667
TXLNA	5114
CCDC28B	3873
RP4-622L5.7	1357
IQCC	2463
DCDC2B	1870
TMEM234	3571
EIF3I	9756
MTMR9LP	2961
FAM167B	947
LCK	3339
HDAC1	3966
MARCKSL1	1546
RP4-811H24.9	687
TSSK3	1849
FAM229A	2845
BSDC1	6741
GAPDHP20	1007
RP11-395N6.4	341
LRRC37A12P	1801
RN7SL122P	301
RP1-27O5.3	3447
ZBTB8B	12831
ZBTB8A	7077
ZBTB8OS	3531
RBBP4	9470
SYNC	3722
RP11-114B7.6	395
KIAA1522	6020
YARS1	9124
S100PBP	9190
FNDC5	3199
HPCA	1964
TMEM54	1417
RP5-1174N9.3	575
RNF19B	2734
RP5-1174N9.2	911
RP4-803A2.1	526
RP4-803A2.2	863
RP1-117O3.2	1680
AK2	9625
AZIN2	9581
RP11-131M11.2	1360
TRIM62	3976
RP11-131M11.3	3448
RP11-131M11.4	1947
ZNF362	3384
RP11-415J8.7	469
A3GALT2	1023
RP11-415J8.3	4015
PHC2	5018
MIR3605	100
RN7SKP16	299
PHC2-AS1	490
TLR12P	2706
ZSCAN20	10444
RP4-580O19.2	736
CSMD2	18114
HSPD1P14	1618
HMGB4	2561
CSMD2-AS1	2619
RNA5SP42	115
C1orf94	3339
RP4-657M3.2	434
RP4-651I17.1	1426
MIR552	96
SMIM12	10337
GJB5	1355
GJB4	1444
RP1-34M23.5	560
GJB3	2362
GJA4	1716
RP5-997D16.2	720
DLGAP3	4042
RP11-244H3.5	3163
GPR199P	1887
RP11-244H3.4	3099
TMEM35B	922
ZMYM6	9568
ZMYM1	5205
RPL12P45	478
EFCAB14P1	463
RP11-181E22.4	1886
SFPQ	7419
ZMYM4	7905
RN7SL503P	303
SNORA62	966
RPL5P4	886
ZMYM4-AS1	459
KIAA0319L	9619
RP4-728D4.3	1003
NCDN	4917
TFAP2E-AS1	1030
TFAP2E	4308
PSMB2	4528
C1orf216	3049
CLSPN	9591
RP11-435D7.3	539
AGO4	7423
AGO1	13890
CFAP97P1	483
RP4-789D17.6	1802
RP4-789D17.5	396
AGO3	21153
RP4-665N4.8	659
RP4-665N4.4	1674
TEKT2	1959
ADPRS	1651
COL8A2	4669
TRAPPC3	3527
MAP7D1	5271
RN7SL131P	256
THRAP3	4720
UBE2V2P4	259
SH3D21	8142
EVA1B	1242
RP11-268J15.6	4878
STK40	5618
LSM10	1506
RNU4-27P	139
OSCP1	2788
SNORA63C	129
MRPS15	2863
CSF3R	8429
FTLP18	523
RP11-251B9.1	2694
RP4-614N24.3	1521
RP4-614N24.1	778
GRIK3	10497
RP3-406M12.1	1039
RP5-1180C18.1	3153
MIR4255	72
RNU6-636P	107
RNA5SP43	110
RPS29P6	145
LINC01137	3019
ZC3H12A	3091
MIR6732	60
MEAF6	6061
MIR5581	60
SNIP1	5718
FTH1P1	532
RP3-423B22.5	253
DNALI1	4456
GNL2	5747
RP11-566C13.2	1326
RSPO1	3058
C1orf109	4443
CDCA8	2406
EPHA10	8152
ACTN4P2	1892
RP11-109P14.2	429
MANEAL	2973
RP11-109P14.9	700
YRDC	1848
C1orf122	2231
MTF1	7989
RP11-109P14.8	691
RP11-109P14.10	481
INPP5B	8930
SNORA63	839
RNU6-584P	95
SF3A3	3894
RNU6-510P	108
FHL3	2004
UTP11	3381
POU3F1	2965
MIR3659HG	684
RP5-884C9.3	340
MIR3659	99
LINC02786	1562
RP11-214L19.3	1033
RP11-214L19.2	1235
LINC01343	2573
RP11-329N22.2	585
RNU6-753P	107
LINC01685	3673
HSPA5P1	1960
RP11-334L9.2	1240
RRAGC	5116
RP5-864K19.7	2171
RP5-864K19.4	2004
MYCBP	2773
RP5-864K19.6	3251
GJA9	2439
RHBDL2	2826
RNU6-605P	108
EIF1P2	350
AKIRIN1	2688
NDUFS5	548
MACF1	42738
RNU6-608P	104
RNA5SP44	133
RP11-416A14.2	1941
RP11-420K8.1	558
HSPE1P8	288
BMP8A	5636
OXCT2P1	1535
PPIEL	5416
PABPC4	10274
PABPC4-AS1	1408
SNORA55	135
HEYL	4077
RP1-144F13.3	304
NT5C1A	9068
HPCAL4	4758
PPIE	11124
RP1-144F13.4	568
RNU7-121P	62
BMP8B	4826
OXCT2	1826
BMP8B-AS1	1218
RP1-118J21.25	1196
RP1-118J21.24	154
RP1-118J21.27	1744
LINC02811	673
TRIT1	6533
MYCL	5063
MYCL-AS1	785
MFSD2A	4007
RP3-342P20.2	725
CAP1	3814
PPT1	3372
OAZ1P1	685
RLF	6232
RNU6-1237P	107
TMCO2	846
RP1-39G22.7	1541
ZMPSTE24	4022
RP1-39G22.4	313
COL9A2	4215
RP1-228H13.1	480
SMAP2	3601
RP1-228H13.2	418
RP1-228H13.6	673
ZFP69B	2566
RP1-228H13.5	2449
RP11-656D10.7	1005
ZFP69	3173
RP11-656D10.3	605
EXO5	2574
RP11-656D10.5	432
RP11-656D10.6	546
ZNF684	3101
RP1-63P18.3	720
RP1-63P18.2	126
GTF2F2P2	721
RIMS3	7259
RP4-739H11.5	1672
RP4-739H11.3	471
NFYC-AS1	1687
NFYC	5990
MIR30E	92
MIR30C1	89
KCNQ4	4408
RN7SL326P	296
CITED4	1310
RP5-1066H13.4	471
RP11-348A7.1	921
RP11-348A7.7	1354
UBE2V1P8	265
CTPS1	11164
SLFNL1-AS1	4800
SLFNL1	4310
SCMH1	4447
RPL23AP17	499
RP11-399E6.6	4437
RP11-399E6.1	2252
RP11-399E6.2	313
RP11-399E6.5	1348
FOXO6	2398
FOXO6-AS1	394
RNA5SP45	92
EDN2	1649
HIVEP3	14625
RP11-486B10.3	265
RP11-486B10.4	2242
RP11-486B10.5	81
RP1-21K4.2	1188
HNRNPFP1	1133
RP11-319C21.1	454
GUCA2B	604
GUCA2A	597
FOXJ3	6896
RP11-223A3.1	661
RIMKLA	10638
RP11-157D18.2	397
ZMYND12	2181
PPCS	3412
CCDC30	25206
RPS3AP11	755
TMSB4XP1	135
RNU6-536P	107
RP11-163G10.4	421
PPIH	5095
RP5-994D16.13	3315
RP5-994D16.3	601
YBX1	3395
CLDN19	3602
P3H1	6766
C1orf50	5286
RP5-994D16.12	1582
RP5-994D16.9	484
TMEM269	4373
SVBP	1353
ERMAP	5720
RP11-342M1.3	3776
ZNF691	2036
RP11-342M1.7	1962
MKRN8P	1326
ATP6V1E1P1	681
SLC2A1	6614
